Dialogue_ID,Utterance_ID,Role,Content,Coding
3,3,user,想了解一下陶行知的教育思想,Querying
3,4,system,主要有生活即教育、教学做合一、行是知之始。,Answering
3,5,user,那教育方式呢,Querying
3,6,system,"陶行知是创造教育最早的开拓者。 创造是人生的最高本质。1869年英国生理学家高尔顿发表《遗传的天才》一书,并首先进行“自由联想”实验,标志着用科学方法研究创造思维的开端。1917年陶行知就赞许高尔顿,称他“殚精竭虑,以冀深造。五十年来,良多发明”,“其关系教育,至为重大”。他认为“遗传与习染交相为用，而人之性情备焉”。",Answering
3,7,user,那有什么成功应用的案例吗,Querying
3,8,system,"非常著名的教育案例，就是他奖励打人学生糖这一个教育案例。了解更多参看以下链接吧
##<link##193076##link>##",Answering
3,9,user,可以讲讲郑渊洁的教育理念吗,Querying
3,10,system,因材施教，喜乐随性。从郑渊洁对子女不同的教育方法中，我们可以看出郑渊洁的教育理念并不是一成不变的，而是根据个人的喜好做了很多的调整。教育孩子不是用嘴教育，而是以身作则；除了成绩，更重要的是对孩子自尊、自信的培养；郑渊洁也在书中提示父母，教育孩子最正确有效的方法是，发现孩子的长处；,Answering
3,11,user,他的子女现在怎样了啊,Querying
3,12,system,2017年，郑渊洁的18岁女儿以全校第一名的成绩毕业，被美国六所顶尖大学本科同时录取。从儿子18岁生日那天起，郑渊洁就没再给过他一分钱。郑亚旗靠在报社筹建和维护网站、维修电脑来养活自己，三年后成为了该报社技术部主任。辞职后，郑亚旗开办皮皮鲁讲堂，任校长和讲师。建造了属于自己的摄影棚，去各地拍摄野生动物，还出版了《郑亚旗摄影集》。,Answering
3,13,user,好的，还有其他的教育方法吗,Querying
3,14,system,天才教育法、自然教育法、特殊教育法、才能教育法、实践教育法、赏识教育法等等,Answering
3,15,user,可以简单介绍下天才教育法吗,Querying
3,16,system,"天才教育法是卡尔威特提出的教育方法。卡尔威特是德国哈雷近郊洛赫村的教师，对教育富有独到的见解。他认为孩子的教育必须和孩子的智力曙光同时开始，并用自己的理论实践于自己的儿子，使之成为传奇般的天才。于1818年写成《卡尔威特的教育》一书，该书是世界上论述早期教育的最早文献，他的教育理念被后人誉为早期教育的楷模。上帝给了他一个痴呆的儿子，但是卡尔-威特通过自己的教育，让儿子成为了一个天才：8岁学会6种语言；9岁考入莱比锡大学；13岁发表数学论文，并获得哲学博士学位；16岁，又获得法学博士学位，被柏林大学聘为法学教授。
一切的奇迹都来自卡尔-威特的天才教育法。 ",Answering
3,17,user,好的谢啦,Chitchat
3,18,system,不客气,Chitchat
4,1,user,你好，打扰一下,Chitchat
4,2,system,你好，有需要我帮忙的吗？,Chitchat
4,3,user,请问您有了解过陶行知吗？可以为我介绍一下他的教育方法吗？,Querying
4,4,system,您是想了解他的思想还是理论呢？,Inquiring
4,5,user,请先为我介绍一下他的教育思想吧！,Elaborating
4,6,system,"陶行知教育思想的精髓可以概括为一个理论，三大原理，四种精神，五大主张。
一个理论即生活教育理论。
三大原理是：生活即教育，社会即学校，教学做合一。
其他思想及细节可以在 ##<link##193035##link>## 这里查看",Answering
4,7,user,那理论呢？或者说教育方式呢？,Querying
4,8,system,陶行知有“四颗糖”教育方法，第一颗糖奖励犯错学生准时来到校长室接受批评教育；第二颗糖奖励学生听从劝告，懂得尊重他人；第三颗糖奖励学生有正义感；最后一颗糖奖励犯错学生能正确认识到自己的错误，知错就改 。具体故事您可以阅览 ##<link##193061##link>##,Answering
4,9,user,那么，陶行知教育有成功应用的案例吗？,Querying
4,10,system,有的。其实之前说的也算一个案例了，当然其他的也有很多，比如强按鸡头、修表、陪学生买书、拜人民为老师等几个案例。案例详情您可以在此品鉴：##<link##193070##link>##,Answering
4,11,user,您知道其他值得推荐的有效的教育方法吗？,Querying
4,12,system,"比较著名的教育方法还有卡尔威特的天才教育法、MS斯特娜的自然教育法、蒙台梭利的特殊教育法等。您可以参考：
##<link##193084##link>##",Answering
4,13,user,哦，我想要的不是育儿方法。,Assessing
4,14,user,更准确地说，是和陶行知教育那样，涉及大学教育的方法，最好是一些有名的教育家提出的。,Reformulating
4,15,system,"与陶行知年代相近的教育家中，中国的有蔡元培提出“思想自由、兼容并包”的办学方针，美国有现代教育学的代表人物杜威提出“教育即生活、学校即社会”。更多内容，您可以在这里发现：
##<link##193101##link>##",Answering
4,16,user,等一下，杜威提出的这个好像和陶行知很相近啊。他们俩有什么不同可以比较的吗？,Querying
4,17,system,"相同之处在于都强调了教育要创新。不同之处在于：
1、针对性不同。
杜威：教育理论的重心分为儿童，活动以及经验三部分。
陶行知：他的教育理论重心在农村教育。
2、提出的背景不同。
杜威：自工业革命后，受工业革命的影响。
陶行知：结合当时中国乡村教育的国情。",Answering
4,18,user,能够提供一下详细比较的网站呢？,Querying
4,19,system,"您可以参考这则比较：
##<link##193138##link>##",Answering
4,20,user,太赞了！万分感谢！,Chitchat
4,21,system,不客气！,Chitchat
5,1,user,在么在么,Chitchat
5,2,system,在的！您需要什么帮助呢？,Chitchat
5,3,user,想了解下小学学习的统计图,Querying
5,4,system,统计图是分析统计问题的有效工具，主要分为扇形、条形、折线3种统计图,Answering
5,5,user,来点图片吧,Querying
5,6,system,图片在链接里呦,Answering
5,7,user,我是想说来点统计图的图片,Querying
5,8,system,图片在链接呦：##<link##38828##link>##,Answering
5,9,user,好的了解了,Assessing
5,10,user,那么学习这个需要掌握哪些知识点呢,Querying
5,11,system,"主要要掌握以下一些知识点：
一、扇形统计图的意义：
用整个圆的面积表示总数，用圆内各个扇形面积表示各部分数量同总数之间的关系。
也就是各部分数量占总数的百分比(因此也叫百分比图)。
二、常用统计图的优点：
1、条形统计图：可以清楚的看出各种数量的多少。

2、折线统计图：不仅可以看出各种数量的多少，还可以清晰看出数量的增减变化情况。

3、扇形统计图：能够清楚的反映出各部分数量同总数之间的关系。

三、扇形的面积大小：在同一个圆中，扇形的大小与这个扇形的圆心角的大小有关，圆心角越大，扇形越大。(因此扇形面积占圆面积的百分比，同时也是该扇形圆心角度数占圆周角度数的百分比。)",Answering
5,12,user,那么有什么学习技巧呢,Querying
5,13,system,基本上要牢记各个统计图的特点以及性质，同时要多画多用加强记忆，可以更好地学会统计图。,Answering
5,14,user,好的,Assessing
5,15,user,再来点相应的试卷和答案吧，我练练手,Querying
5,16,system,这里有不少练习题：##<link##37669##link>##,Answering
5,17,user,貌似自己做还是有点难呢,Chitchat
5,18,user,推荐一些辅导机构吧,Querying
5,19,system,精锐教育，海风教育，学大教育等都是不错的回复,Answering
5,20,user,海风教育的价格和时长如何呢,Querying
5,21,system,海风教育收费价格是按照老师的级别不同收费也不一样，平均一节课在100到200元之间不等，给小孩找辅导时我有了解过，要注意的是，海风教育1对1以中教老师教学为主，我感觉在学习英语这方面的话，外教还是靠谱一点，主要就是口音方面外教比中教回复是要标准很多的。时长的话还是比较长的，因为是一对一辅导。,Answering
5,22,user,不错呀,Assessing
5,23,user,我没有问题了，谢谢你啦,Chitchat
5,24,system,不客气哈哈哈！,Chitchat
6,1,user,你好,Chitchat
6,2,system,在的，请讲。,Chitchat
6,3,user,天龙八部很经典啊,Querying
6,4,system,您是想了解网游，小说，还是电视呢？,Inquiring
6,5,user,电视全集，我想看一下,Elaborating
6,6,system,请问您是想看黄日华版还是胡军版呢？,Inquiring
6,7,user,黄日华版,Elaborating
6,8,system,"这是您需要的观看链接：
##<link##68461##link>##",Answering
6,9,user,这部剧的导演是谁啊,Querying
6,10,system,李添胜,Answering
6,11,user,那主要演员有哪些呢？,Querying
6,12,system,这部剧由黄日华、陈浩民、樊少皇、李若彤、刘锦玲、刘玉翠、张国强、赵学而、何美钿联袂主演。,Answering
6,13,user,黄日华这个人请给我介绍一下吧。,Querying
6,14,system,黄日华，1961年9月4日出生于广东省惠州市博罗县，中国香港男演员，毕业于无线电视第九期艺员训练班。1997年凭借武侠剧《天龙八部》获得TVB万千星辉贺台庆最佳剧中男主角演绎奖提名。,Answering
6,15,user,哦哦，我知道啦~,Assessing
6,16,user,我的问题问完啦，谢谢你。,Chitchat
6,17,system,不客气，那就886,Chitchat
6,18,user,88,Chitchat
7,1,user,你好,Chitchat
7,2,system,你好,Chitchat
7,3,user,天龙八部你知道吗,Querying
7,4,system,"《天龙八部》是根据金庸同名小说改编的古装武侠剧，由张纪中担任总制片人，鞠觉亮、周晓文、于敏、赵箭联合执导，胡军、林志颖、高虎、刘亦菲、陈好、刘涛主演，于2003年12月11日在浙江卫视首播。
该剧以乔峰、段誉和虚竹三人的传奇经历为主线，交织以三人与阿朱、王语嫣、梦姑三段感人至深的缠绵恋情，从而铺陈开一幅气势磅礴的江湖画卷。
2004年，该剧获得第22届中国电视金鹰奖长篇电视剧优秀作品奖",Answering
7,5,user,什么时候播出的啊,Querying
7,6,system,:该剧于1997年首播,Answering
7,7,user,导演是谁,Querying
7,8,system,李添胜,Answering
7,9,user,主要演员有谁,Querying
7,10,system,"黄日华  
李若彤
陈浩民 
樊少皇",Answering
7,11,user,给我能够观看天龙八部的网站的网址吧,Querying
7,12,system,##<link##197771##link>##,Answering
7,13,user,天龙八部的原著小说我想了解一下,Querying
7,14,system,《天龙八部》是中国现代作家金庸创作的长篇武侠小说。这部小说从1963年开始创作，历时4年完成。前后共有三版，并在2005年第三版中经历6稿修订，结局改动较大。小说以宋哲宗时代为背景，通过宋、辽、大理、西夏、吐蕃等王国之间的武林恩怨和民族矛盾，从哲学的高度对人生和社会进行审视和描写,Answering
7,15,user,再推荐一些其他的武侠电视剧吧,Querying
7,16,system,"1. 笑傲江湖 2001（推荐）
2. 射雕英雄传 2003（推荐）
3. 天龙八部 2003
4. 神雕侠侣 2006
5. 碧血剑 2007
6. 鹿鼎记 2008",Answering
7,17,user,好的谢谢,Assessing
7,18,user,我去看了，下次再聊,Chitchat
7,19,system,拜拜,Chitchat
8,1,user,听说你很厉害，想问你几个问题可以吗？,Chitchat
8,2,system,当然可以！随便问吧,Chitchat
8,3,user,想知道南京的公交车的时刻表,Querying
8,4,system,具体想了解哪一路呢,Inquiring
8,5,user,165路吧,Elaborating
8,6,system,抱歉没找到呢,Answering
8,7,user,那高淳113路呢,Querying
8,8,system,运行时间：定坊工业园 06:20-21:00|所街 05:30-20:10,Answering
8,9,user,经过的站点呢,Querying
8,10,system,"1东宝路锦江路站
2金陵世纪花园站
3浦江路汉中门大街站
4典雅居站
5裕华名居站
6康怡花园站
7汉中门大街嫩江路站
8北圩路站
9玉塘村站
10沿河村站
11安如村站
12应天大街站
13应天大街恒山路站
14应天大街黄山路站
15应天大街泰山路站
16赛虹桥立交西站
17赛虹桥站
18凤台南路站
19赛上路站
20纬八立交桥北站
21纬八立交桥站
22公交车辆厂站
23龙福山庄站
24安德门站
25菊花台公园站
26石子岗站
27徐家洼站
28宁双路站
29铁心桥站
30铁心桥南站
31银杏山庄站
32王燕街站
33大定坊站
34大周路北站
35黄泥岗站
36中兴村站
37定坊工业园站
",Answering
8,11,user,"ok,去南京夫子庙可以乘坐哪几路呢",Querying
8,12,system,可以乘坐14、46、101、102、103、106、317、49、44、88、305、63、81、46、304、15、301,Answering
8,13,user,可以乘坐地铁吗,Querying
8,14,system,可以乘坐地铁1号线,Answering
8,15,user,好滴，谢谢！,Chitchat
8,16,system,不客气~,Chitchat
9,1,user,在不在，我需要你帮忙,Chitchat
9,2,system,在的，好的，随时都可以帮您。,Chitchat
9,3,user,帮我找一下南京和平公园站的汽车表,Querying
9,4,system,"1. 南京105路公交车路线
燕江新城总站、盛春路·神农路、壮举路·春、树街、燕江新城、壮举路·神农路、化纤厂、化纤新村、宜春街东、宜春街中、大瓜园东、大瓜园、晓庄、南砖新村、和燕路·迈皋桥、东井村、红山站、东井亭、黄家圩、南京站·北广场西
2. 南京11路公交车路线
3. 南京131路公交车站",Answering
9,5,user,我从和平公园去北京东路九华山要怎么坐公交,Querying
9,6,system,"坐南京11路公交车路线
南京20路区间公交车路线
南京48路公交车路线
南京Y11路公交车路线等 都可以",Answering
9,7,user,从和平公园怎么去北苑新村南,Querying
9,8,system,对不起没有找到答案,Answering
9,9,user,从清凉山公园到和平公园做几路公交车,Querying
9,10,system,南京20路(莫愁湖公园西门--明孝陵停车场),Answering
9,11,user,可以乘坐地铁吗？,Querying
9,12,system,"532路 转地铁4号线 
地铁2号线转地铁3号线",Answering
9,13,user,我还是比较迷糊，你给我找个地图软件吧,Querying
9,14,system,您需要哪个？,Inquiring
9,15,user,高德吧,Elaborating
9,16,system,##<link##193950##link>##,Answering
9,17,user,好的，谢谢你，我去找路了,Chitchat
9,18,system,好的，有问题再喊我哦，注意安全。,Chitchat
10,1,user,我又来麻烦你拉,Chitchat
10,2,system,哈哈，欢迎欢迎，今天又有什么问题呢？,Chitchat
10,3,user,你会做川菜么？,Querying
10,4,system,你是在找川菜菜谱、还是app或者电视剧呢？,Inquiring
10,5,user,我是在找川菜菜谱啦,Elaborating
10,6,system,"你可以看看这个网站哦：
##<link##157324##link>##",Answering
10,7,user,我不想看,Assessing
10,8,user,你推荐几个川菜给我吧,Querying
10,9,system,这里为你推荐麻婆豆腐、鱼香肉丝、水煮肉片、辣子鸡、宫保鸡丁、毛血旺。,Answering
10,10,user,不错，都把我看饿了,Chitchat
10,11,user,麻婆豆腐怎么做呀,Querying
10,12,system,"1. 将豆腐切成2厘米见方的块，放入加了少许盐的沸水中氽一下，去除豆腥味，捞出用清水浸泡；豆豉等剁碎，蒜苗切段，姜切末。
2. 炒锅烧热，放油，放入牛肉馅炒散；待牛肉馅炒成金黄色，放入豆瓣酱同炒；放入豆豉、姜末、辣椒粉同炒至牛肉上色。
3. 下肉汤煮沸，放入豆腐煮3分钟，加酱油、蒜苗段、糖，用盐调味，再用湿淀粉勾芡，盛出后撒上花椒面、葱末即可。",Answering
10,13,user,看起来不是很难哦,Chitchat
10,14,user,需要准备什么原材料呀？,Querying
10,15,system,豆腐（250克）、牛肉（75克）、蒜苗（1根）、豆豉（15克）、花椒粉（3克）、黄酒（5克）、盐（3克）、豌豆淀粉（5克）、花生油（15克）、小葱（5克）等。,Answering
10,16,user,有没有它的教学视频？我想看看,Querying
10,17,system,"你可以看一个这个视频哦：
##<link##157387##link>##",Answering
10,18,user,好的，感觉不是很难,Assessing
10,19,user,你给我推荐一些好吃的地方菜吧,Querying
10,20,system,这里给你介绍山东的几个特色地方菜：淄博酥锅、枣庄菜煎饼、东营黄河口大闸蟹、烟台鲅鱼水饺、潍坊潍县萝卜、济宁甏肉干饭、威海韩餐等。,Answering
10,21,user,Nice，看饿了看饿了,Chitchat
10,22,user,给我一个鲅鱼水饺的教学视频吧,Querying
10,23,system,"你可以看一看这个视频哦：
##<link##157428##link>##",Answering
10,24,user,好的，谢谢你啦~,Chitchat
10,25,system,不客气的亲~很高兴为你服务~,Chitchat
11,1,user,hi！,Chitchat
11,2,system,你好呀,Chitchat
11,3,user,我想了解清华大学，他的建校时间是什么时候啊,Querying
11,4,system,清华大学是1911年建校的。 ,Answering
11,5,user,他的师资力量怎么样啊？,Querying
11,6,system,"清华大学素有“大师之园”的美誉。截至目前为止,学校教师中,诺贝尔奖获得者1名,图灵奖获得者1名,中国科学院院士36名,中国工程院院士32 名,国家级高等学校教学名师奖获得者10名,110人受聘为教育部“长江学者奖励计划”特聘教授和讲座教授,115人获得国家杰出青年科学基金,数目均居国内高校首位。",Answering
11,7,user,真强！,Chitchat
11,8,user,那优势专业有哪些啊,Querying
11,9,system,电子信息科学类专业、 计算机软件专业、土木工程专业等。,Answering
11,10,user,都是些工科呢！,Chitchat
11,11,user,历史上有什么重大事件吗？,Querying
11,12,system,"有很多：
##<link##53689##link>##
##<link##53687##link>##",Answering
11,13,user,哦，朱令事件发生在哪一年啊,Querying
11,14,system,从1994年11月24日起，持续到1995年,Answering
11,15,user,嗯我晓得了,Assessing
11,16,user,2019年各个省的录取线可以给我吗？,Querying
11,17,system,"参考下吧：
##<link##53701##link>##",Answering
11,18,user,嗯，除此之外有没有历年录取计划呢？,Querying
11,19,system,"有的：
##<link##64217##link>##
##<link##53710##link>##",Answering
11,20,user,好的，很不错,Assessing
11,21,user,我没有其他问题了，谢谢你,Chitchat
11,22,system,不用谢哦,Chitchat
11,23,user,再见！,Chitchat
11,24,system,嗯,Chitchat
12,1,user,你好呀！,Chitchat
12,2,user,马上到填报志愿的时候了，我现在对很多大学的情况都不太了解啊。,Querying
12,3,system,你好呀！那我有什么可以帮你的吗？,Chitchat
12,4,user,我想先了解一下中国最好的学府的吧？,Querying
12,5,system,我为你查到了中国最好的大学前十名排行榜：其中有清华大学，北京大学，浙江大学，复旦大学，上海交大，中国科技大学，南京大学，西安交通大学，哈尔滨工业大学和中国人民大学,Answering
12,6,user,我想了解一下清华大学吧，比如她的建校时间？,Querying
12,7,system,清华大学是1911年建校的。清华大学的前身清华学堂始建于1911年，校名“清华”源于校址“清华园”地名，是清政府设立的留美预备学校，其建校的资金源于1908年美国退还的部分庚子赔款。1912年更名为清华学校。1928年更名为国立清华大学。,Answering
12,8,system,您还想继续了解“清华大学建校历史”吗？,Eliciting
12,9,user,好啊！我很想听一听！,Deciding
12,10,system,"清华大学的前身是清华学堂，是一所留美预备学校而非大学。

1911年清华学校开办，学生可以回复10门课程：哲学、中国文学、世界文学、艺术与音乐、历史与政治、数学与天文、物理与化学、生物、地理、体育与手工。

1912年更名为清华学校，

1925年设立大学部，清华正式设立了四年本科项目和1个研究生项目，同年开办研究院（国学门），招收了第一届国学班。

1928年更名为“国立清华大学”。国立清华大学由文学院、法学院、理学院、工学院4所学院构成，拥有17个科系，提供很强的理科教育和宽泛的文科教育。
1935年，清华成为中国研究生教育的重镇，当时的中国一共有30个研究所，10个在清华。此外，清华毕业生获得了世界范围的认可。

从1937年到1946年，因为日军侵华，清华大学、北京大学、南开大学三校被迫撤退到昆明，组建国立长沙临时大学，1938年迁至昆明，改名为国立西南联合大学。那八年有时被视作中国高等教育的黄金时代，特征是拥有相对自由的学术氛围和一流学者之间的密切合作——他们从前分散在三所校园。清华最知名和最有创造力的一批校友，比如诺贝尔奖获得者杨振宁与李政道，均在这一时期完成学业。

1946年，清华大学迁回清华园原址复校，设有文、法、理、工、农等5个学院，26个系。

1949年后，清华大学一分为二，台湾以新竹清华大学之名于台“复校”，而清华大学本址归属中央人民政府教育部，更名“清华大学”。并于1952年进行了院系调整，并兴建了诚斋、立斋、强斋等数十座楼房；60年代又兴建了中央主楼；从70年代开始主要兴建教职员工宿舍。经过几十年的建设，清华大学已经成为一所综合性工科大学，为祖国培养造就了一批又一批栋梁之材。


",Answering
12,11,user,我对建校历史这部分很感兴趣，能为我提供一些链接吗?,Querying
12,12,system,"好的呀！
##<link##197673##link>##

##<link##197674##link>##

##<link##197675##link>##",Answering
12,13,user,我想查一下清华大学有哪些优势专业？,Querying
12,14,system,清华大学的王牌专业名单在这里呢：##<link##197676##link>##,Answering
12,15,user,那清华大学有哪些知名教授呢？,Querying
12,16,system,比如谢维和、帅志刚等等,Answering
12,17,user,最后你能帮我查一下清华录取分数线吗？,Querying
12,18,system,##<link##147115##link>##,Answering
12,19,user,好的！非常感谢呀！拜拜~,Chitchat
13,1,user,在吗,Chitchat
13,2,system,嗯，在的,Chitchat
13,3,user,你知道升降机吗,Chitchat
13,4,system,知道一点吧,Chitchat
13,5,user,你知道升降机用什么能源吗,Querying
13,6,system,电和柴油,Answering
13,7,user,他的工作原理是什么,Querying
13,8,system,升降机原理是指提升设备控制两缸的运动方向，从而实现货物提升的目的。,Answering
13,9,user,市面上销售的升降机都是什么价位啊,Querying
13,10,system,根据不同厂家、不同型号价格8000至二十八万不等,Answering
13,11,user,性能方面有什么指标吗,Querying
13,12,system,符合GJJ牌SC型施工升降机常用型号及技术性能参数表 ,Answering
13,13,user,给我一个卖升降机的网址吧,Querying
13,14,system,##<link##175068##link>##,Answering
13,15,user,有没有线下实体店啊,Querying
13,16,system,有实体店，但是我没有找到,Answering
13,17,user,好的谢谢,Assessing
13,18,system,不客气,Chitchat
13,19,user,那我去买了，下次再聊,Chitchat
13,20,system,好的,Chitchat
14,1,user,在吗,Chitchat
14,2,system,您好，我在,Chitchat
14,3,user,想查一下遗嘱,Querying
14,4,system,您是想了解模板、有效条件还是公证？,Inquiring
14,5,user,都不是,Elaborating
14,6,user,我想了解一下遗嘱书写方法,Reformulating
14,7,system,要写清楚标题、正文要点、遗嘱人、证明人、日期等内容。,Answering
14,8,user,哦好的,Assessing
14,9,user,那么遗嘱认证机构有哪些呢？,Querying
14,10,system,可以去公证处哦。,Answering
14,11,user,有遗嘱的书写范本吗？,Querying
14,12,system,"给您提供链接哦：
##<link##57671##link>##",Answering
14,13,user,好的，谢谢！,Assessing
14,14,user,可以查找一下北京的公证处网站吗？,Querying
14,15,system,##<link##57686##link>##,Answering
14,16,user,有没有联系电话？,Querying
14,17,system,65538988、65538989 ,Answering
14,18,user,好的，收到了，谢谢！,Assessing
15,1,user,你好，我有一些问题想要问。,Chitchat
15,2,system,好的，请问有什么可以帮你的吗？,Chitchat
15,3,user,一想到以后要死，我就很害怕。,Querying
15,4,system,请问您是想要了解十大快速死亡方法吗？,Inquiring
15,5,user,怎么可能呢？,Elaborating
15,6,user,我我是想问你遗嘱怎么写呀？,Querying
15,7,system,嗯，请问您是想要了解遗嘱怎么写？才合法有效吗？,Inquiring
15,8,user,对对对。,Elaborating
15,9,system,"不同的遗嘱形式,所生效的条件也各不相同,遗嘱人要根据自己订立的遗嘱类型及其相应的生效条件,做好对应的准备工作,才能让自己所订立的遗嘱具有法律效力。遗嘱人必须具备完全民事行为能力,限制行为能力人和无民事行为能力人不具有遗嘱能力",Answering
15,10,user,请问有没有相关的模板呢？,Querying
15,11,system,有的关于遗嘱上面的模板为您提供一下链接，您可以点击观看。##<link##176282##link>##,Answering
15,12,user,哦，好的，谢谢你。,Assessing
15,13,system,请问还有其他问题吗？,Checking
15,14,user,没有了，谢谢你,Deciding
16,1,user,你好啊！,Chitchat
16,2,system,你好，很高兴为您服务！,Chitchat
16,3,user,你想了解有关航天飞机的信息,Querying
16,4,system,航天飞机）是一种载人往返于近地轨道和地面间的有人驾驶、可重复使用的运载工具。你是想了解航天飞机图片、航天飞机发射视频、航天飞机和宇宙飞船的区别等这些信息吗？,Answering
16,5,user,航天飞机图片,Assessing
16,6,system,给您推荐一个网站，这个网站有航天飞机的各种图片，##<link##228089##link>##,Answering
16,7,user,哦，是的，都是高清的图片，谢谢了！,Assessing
16,8,user,我还想了解一下各国航天飞机的信息,Querying
16,9,system,您是想了解哪些国家有航天飞机吗？,Inquiring
16,10,user,是的,Elaborating
16,11,user,哪些国家有航天飞机，谁发明的？,Reformulating
16,12,system,迄今只有美国与前苏联曾经制造能进入近地轨道的航天飞机，并曾实际成功发射并回收，而美国是唯一曾以航天飞机成功进行载人任务的国家。美国研制过5种型号的航天飞机：哥伦比亚号航天飞机、挑战者号航天飞机、发现号航天飞机、亚特兰蒂斯号航天飞机和奋进号航天飞机。苏联研制过暴风雪号航天飞机，1988年对暴风雪号航天飞机成功地进行了无人轨道试飞，其后，由于苏联1991年解体，计划终止。,Answering
16,13,user,这样啊，只有两个国家有航天飞机啊！,Chitchat
16,14,user,我还想了解一下航天飞机的起飞资料,Querying
16,15,system,航天飞机是靠固体助推器和主发动机的推力垂直起飞，起飞后固体助推器。发射前要做好准备，整个发射过程包括主发动机点火、固体火箭助推器关机并分离、航天飞机主发动机关机，外贮箱与轨道器分离等几个步骤。,Answering
16,16,user,这个起飞看上去太专业了！有没有视频可以看看？,Querying
16,17,system,这个起飞视频您看看：##<link##228129##link>##,Answering
16,18,user,嗯，确实过程很壮观！谢谢了！,Chitchat
16,19,user,请再给我推荐些其他的航天技术吧，例如空间站什么的,Querying
16,20,system,在载人飞船取得成功后，前苏联在20世纪70年代适时调整其载人活动重点，建造载人轨道站成为前苏联载人航天活动的目标。空间站是一种能在轨道上长期运行、具有一定科学技术试验能力或生产能力的有人居住航天器。空间站的发展历程分为：试验性空间站；简易空间站；永久性载人空间站。1998年，国际空间站发射了第一个模块。,Answering
16,21,user,好的，谢谢！,Assessing
16,22,system,好的，不客气！,Chitchat
16,23,user,我先看看这些资料，回聊了！,Chitchat
16,24,system,回聊！,Chitchat
17,1,user,hi,Chitchat
17,2,system,你好，请问有什么可以帮你？,Chitchat
17,3,user,,Querying
17,4,system,你想了解蔷薇花的花语，养殖方法，还是图片？,Inquiring
17,5,user,我想了解一下它的图片,Elaborating
17,6,system,##<link##90122##link>##,Answering
17,7,user,我还想再了解一下它的品种？,Querying
17,8,system,蔷薇花的品种有数百种，具体有硕苞蔷薇，金樱子，木香花等,Answering
17,9,user,我还想再了解一下它的别名,Querying
17,10,system,蔷薇花，又名多花蔷薇，蔷蘼、刺玫、白残花，希望能帮到你,Answering
